Company Name,Industry,Symbol,Series,ISIN Code,,
Affle (India) Ltd.,IT,AFFLE,EQ,INE00WC01019,"""AFFLE.NS""","""AFFLE.NS"","
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,EQ,INE031B01049,"""AJANTPHARM.NS""","""AJANTPHARM.NS"","
Akzo Nobel India Ltd.,CONSUMER GOODS,AKZOINDIA,EQ,INE133A01011,"""AKZOINDIA.NS""","""AKZOINDIA.NS"","
Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD,EQ,INE901L01018,"""APLLTD.NS""","""APLLTD.NS"","
Alkem Laboratories Ltd.,PHARMA,ALKEM,EQ,INE540L01014,"""ALKEM.NS""","""ALKEM.NS"","
Alkyl Amines Chemicals Ltd.,CHEMICALS,ALKYLAMINE,EQ,INE150B01021,"""ALKYLAMINE.NS""","""ALKYLAMINE.NS"","
Allcargo Logistics Ltd.,SERVICES,ALLCARGO,EQ,INE418H01029,"""ALLCARGO.NS""","""ALLCARGO.NS"","
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,EQ,INE885A01032,"""AMARAJABAT.NS""","""AMARAJABAT.NS"","
Amber Enterprises India Ltd.,CONSUMER GOODS,AMBER,EQ,INE371P01015,"""AMBER.NS""","""AMBER.NS"","
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,EQ,INE079A01024,"""AMBUJACEM.NS""","""AMBUJACEM.NS"","
Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,EQ,INE437A01024,"""APOLLOHOSP.NS""","""APOLLOHOSP.NS"","
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,EQ,INE438A01022,"""APOLLOTYRE.NS""","""APOLLOTYRE.NS"","
Arvind Fashions Ltd.,CONSUMER GOODS,ARVINDFASN,EQ,INE955V01021,"""ARVINDFASN.NS""","""ARVINDFASN.NS"","
Asahi India Glass Ltd.,AUTOMOBILE,ASAHIINDIA,EQ,INE439A01020,"""ASAHIINDIA.NS""","""ASAHIINDIA.NS"","
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,EQ,INE208A01029,"""ASHOKLEY.NS""","""ASHOKLEY.NS"","
Ashoka Buildcon Ltd.,CONSTRUCTION,ASHOKA,EQ,INE442H01029,"""ASHOKA.NS""","""ASHOKA.NS"","
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026,"""ASIANPAINT.NS""","""ASIANPAINT.NS"","
Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,ASTERDM,EQ,INE914M01019,"""ASTERDM.NS""","""ASTERDM.NS"","
AstraZenca Pharma India Ltd.,PHARMA,ASTRAZEN,EQ,INE203A01020,"""ASTRAZEN.NS""","""ASTRAZEN.NS"","
Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL,EQ,INE006I01046,"""ASTRAL.NS""","""ASTRAL.NS"","
Atul Ltd.,CHEMICALS,ATUL,EQ,INE100A01010,"""ATUL.NS""","""ATUL.NS"","
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,EQ,INE406A01037,"""AUROPHARMA.NS""","""AUROPHARMA.NS"","
Avanti Feeds Ltd.,CONSUMER GOODS,AVANTIFEED,EQ,INE871C01038,"""AVANTIFEED.NS""","""AVANTIFEED.NS"","
Avenue Supermarts Ltd.,CONSUMER GOODS,DMART,EQ,INE192R01011,"""DMART.NS""","""DMART.NS"","
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034,"""AXISBANK.NS""","""AXISBANK.NS"","
BASF India Ltd.,CHEMICALS,BASF,EQ,INE373A01013,"""BASF.NS""","""BASF.NS"","
BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML,EQ,INE258A01016,"""BEML.NS""","""BEML.NS"","
BSE Ltd.,FINANCIAL SERVICES,BSE,EQ,INE118H01025,"""BSE.NS""","""BSE.NS"","
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010,"""BAJAJ-AUTO.NS""","""BAJAJ-AUTO.NS"","
Bajaj Consumer Care Ltd.,CONSUMER GOODS,BAJAJCON,EQ,INE933K01021,"""BAJAJCON.NS""","""BAJAJCON.NS"","
Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC,EQ,INE193E01025,"""BAJAJELEC.NS""","""BAJAJELEC.NS"","
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024,"""BAJFINANCE.NS""","""BAJFINANCE.NS"","
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,EQ,INE918I01018,"""BAJAJFINSV.NS""","""BAJAJFINSV.NS"","
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG,EQ,INE118A01012,"""BAJAJHLDNG.NS""","""BAJAJHLDNG.NS"","
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,EQ,INE787D01026,"""BALKRISIND.NS""","""BALKRISIND.NS"","
Balmer Lawrie & Co. Ltd.,INDUSTRIAL MANUFACTURING,BALMLAWRIE,EQ,INE164A01016,"""BALMLAWRIE.NS""","""BALMLAWRIE.NS"","
Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN,EQ,INE119A01028,"""BALRAMCHIN.NS""","""BALRAMCHIN.NS"","
Bandhan Bank Ltd.,FINANCIAL SERVICES,BANDHANBNK,EQ,INE545U01014,"""BANDHANBNK.NS""","""BANDHANBNK.NS"","
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,EQ,INE028A01039,"""BANKBARODA.NS""","""BANKBARODA.NS"","
Bank of India,FINANCIAL SERVICES,BANKINDIA,EQ,INE084A01016,"""BANKINDIA.NS""","""BANKINDIA.NS"","
Bank of Maharashtra.,FINANCIAL SERVICES,MAHABANK,EQ,INE457A01014,"""MAHABANK.NS""","""MAHABANK.NS"","
Bata India Ltd.,CONSUMER GOODS,BATAINDIA,EQ,INE176A01028,"""BATAINDIA.NS""","""BATAINDIA.NS"","
Bayer Cropscience Ltd.,FERTILISERS & PESTICIDES,BAYERCROP,EQ,INE462A01022,"""BAYERCROP.NS""","""BAYERCROP.NS"","
Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT,EQ,INE463A01038,"""BERGEPAINT.NS""","""BERGEPAINT.NS"","
Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING,BDL,EQ,INE171Z01018,"""BDL.NS""","""BDL.NS"","
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,EQ,INE263A01024,"""BEL.NS""","""BEL.NS"","
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,EQ,INE465A01025,"""BHARATFORG.NS""","""BHARATFORG.NS"","
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,EQ,INE257A01026,"""BHEL.NS""","""BHEL.NS"","
Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL,EQ,INE029A01011,"""BPCL.NS""","""BPCL.NS"","
Bharat Rasayan Ltd.,FERTILISERS & PESTICIDES,BHARATRAS,EQ,INE838B01013,"""BHARATRAS.NS""","""BHARATRAS.NS"","
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024,"""BHARTIARTL.NS""","""BHARTIARTL.NS"","
Bharti Infratel Ltd.,TELECOM,INFRATEL,EQ,INE121J01017,"""INFRATEL.NS""","""INFRATEL.NS"","
Biocon Ltd.,PHARMA,BIOCON,EQ,INE376G01013,"""BIOCON.NS""","""BIOCON.NS"","
Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS,BIRLACORPN,EQ,INE340A01012,"""BIRLACORPN.NS""","""BIRLACORPN.NS"","
Birlasoft Ltd.,IT,BSOFT,EQ,INE836A01035,"""BSOFT.NS""","""BSOFT.NS"","
Bliss GVS Pharma Ltd.,PHARMA,BLISSGVS,EQ,INE416D01022,"""BLISSGVS.NS""","""BLISSGVS.NS"","
Blue Dart Express Ltd.,SERVICES,BLUEDART,EQ,INE233B01017,"""BLUEDART.NS""","""BLUEDART.NS"","
Blue Star Ltd.,CONSUMER GOODS,BLUESTARCO,EQ,INE472A01039,"""BLUESTARCO.NS""","""BLUESTARCO.NS"","
Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,BBTC,EQ,INE050A01025,"""BBTC.NS""","""BBTC.NS"","
Bombay Dyeing & Manufacturing Co. Ltd.,CONSTRUCTION,BOMDYEING,EQ,INE032A01023,"""BOMDYEING.NS""","""BOMDYEING.NS"","
Bosch Ltd.,AUTOMOBILE,BOSCHLTD,EQ,INE323A01026,"""BOSCHLTD.NS""","""BOSCHLTD.NS"","
Brigade Enterprises Ltd.,CONSTRUCTION,BRIGADE,EQ,INE791I01019,"""BRIGADE.NS""","""BRIGADE.NS"","
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,EQ,INE216A01030,"""BRITANNIA.NS""","""BRITANNIA.NS"","
CARE Ratings Ltd.,FINANCIAL SERVICES,CARERATING,EQ,INE752H01013,"""CARERATING.NS""","""CARERATING.NS"","
CCL Products (I) Ltd.,CONSUMER GOODS,CCL,EQ,INE421D01022,"""CCL.NS""","""CCL.NS"","
CESC Ltd.,POWER,CESC,EQ,INE486A01013,"""CESC.NS""","""CESC.NS"","
CRISIL Ltd.,FINANCIAL SERVICES,CRISIL,EQ,INE007A01025,"""CRISIL.NS""","""CRISIL.NS"","
CSB Bank Ltd.,FINANCIAL SERVICES,CSBBANK,EQ,INE679A01013,"""CSBBANK.NS""","""CSBBANK.NS"","
Cadila Healthcare Ltd.,PHARMA,CADILAHC,EQ,INE010B01027,"""CADILAHC.NS""","""CADILAHC.NS"","
Can Fin Homes Ltd.,FINANCIAL SERVICES,CANFINHOME,EQ,INE477A01020,"""CANFINHOME.NS""","""CANFINHOME.NS"","
Canara Bank,FINANCIAL SERVICES,CANBK,EQ,INE476A01014,"""CANBK.NS""","""CANBK.NS"","
Caplin Point Laboratories Ltd.,PHARMA,CAPLIPOINT,EQ,INE475E01026,"""CAPLIPOINT.NS""","""CAPLIPOINT.NS"","
Capri Global Capital Ltd.,FINANCIAL SERVICES,CGCL,EQ,INE180C01026,"""CGCL.NS""","""CGCL.NS"","
Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING,CARBORUNIV,EQ,INE120A01034,"""CARBORUNIV.NS""","""CARBORUNIV.NS"","
Castrol India Ltd.,OIL & GAS,CASTROLIND,EQ,INE172A01027,"""CASTROLIND.NS""","""CASTROLIND.NS"","
Ceat Ltd.,AUTOMOBILE,CEATLTD,EQ,INE482A01020,"""CEATLTD.NS""","""CEATLTD.NS"","
Central Bank of India,FINANCIAL SERVICES,CENTRALBK,EQ,INE483A01010,"""CENTRALBK.NS""","""CENTRALBK.NS"","
Central Depository Services (India) Ltd.,FINANCIAL SERVICES,CDSL,EQ,INE736A01011,"""CDSL.NS""","""CDSL.NS"","
Century Plyboards (India) Ltd.,CONSUMER GOODS,CENTURYPLY,EQ,INE348B01021,"""CENTURYPLY.NS""","""CENTURYPLY.NS"","
Century Textile & Industries Ltd.,PAPER,CENTURYTEX,EQ,INE055A01016,"""CENTURYTEX.NS""","""CENTURYTEX.NS"","
Cera Sanitaryware Ltd,CONSTRUCTION,CERA,EQ,INE739E01017,"""CERA.NS""","""CERA.NS"","
Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT,EQ,INE085A01013,"""CHAMBLFERT.NS""","""CHAMBLFERT.NS"","
Chennai Petroleum Corporation Ltd.,OIL & GAS,CHENNPETRO,EQ,INE178A01016,"""CHENNPETRO.NS""","""CHENNPETRO.NS"","
Cholamandalam Financial Holdings Ltd.,FINANCIAL SERVICES,CHOLAHLDNG,EQ,INE149A01033,"""CHOLAHLDNG.NS""","""CHOLAHLDNG.NS"","
Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN,EQ,INE121A01024,"""CHOLAFIN.NS""","""CHOLAFIN.NS"","
Cipla Ltd.,PHARMA,CIPLA,EQ,INE059A01026,"""CIPLA.NS""","""CIPLA.NS"","
City Union Bank Ltd.,FINANCIAL SERVICES,CUB,EQ,INE491A01021,"""CUB.NS""","""CUB.NS"","
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014,"""COALINDIA.NS""","""COALINDIA.NS"","
Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,COCHINSHIP,EQ,INE704P01017,"""COCHINSHIP.NS""","""COCHINSHIP.NS"","
Coforge Ltd.,IT,COFORGE,EQ,INE591G01017,"""COFORGE.NS""","""COFORGE.NS"","
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,EQ,INE259A01022,"""COLPAL.NS""","""COLPAL.NS"","
Container Corporation of India Ltd.,SERVICES,CONCOR,EQ,INE111A01025,"""CONCOR.NS""","""CONCOR.NS"","
Coromandel International Ltd.,FERTILISERS & PESTICIDES,COROMANDEL,EQ,INE169A01031,"""COROMANDEL.NS""","""COROMANDEL.NS"","
CreditAccess Grameen Ltd.,FINANCIAL SERVICES,CREDITACC,EQ,INE741K01010,"""CREDITACC.NS""","""CREDITACC.NS"","
Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,CROMPTON,EQ,INE299U01018,"""CROMPTON.NS""","""CROMPTON.NS"","
Cummins India Ltd.,INDUSTRIAL MANUFACTURING,CUMMINSIND,EQ,INE298A01020,"""CUMMINSIND.NS""","""CUMMINSIND.NS"","
Cyient Ltd.,IT,CYIENT,EQ,INE136B01020,"""CYIENT.NS""","""CYIENT.NS"","
D.B.Corp Ltd.,MEDIA & ENTERTAINMENT,DBCORP,EQ,INE950I01011,"""DBCORP.NS""","""DBCORP.NS"","
DCB Bank Ltd.,FINANCIAL SERVICES,DCBBANK,EQ,INE503A01015,"""DCBBANK.NS""","""DCBBANK.NS"","
DCM Shriram Ltd.,CONSUMER GOODS,DCMSHRIRAM,EQ,INE499A01024,"""DCMSHRIRAM.NS""","""DCMSHRIRAM.NS"","
DLF Ltd.,CONSTRUCTION,DLF,EQ,INE271C01023,"""DLF.NS""","""DLF.NS"","
Dabur India Ltd.,CONSUMER GOODS,DABUR,EQ,INE016A01026,"""DABUR.NS""","""DABUR.NS"","
Dalmia Bharat Ltd.,CEMENT & CEMENT PRODUCTS,DALBHARAT,EQ,INE00R701025,"""DALBHARAT.NS""","""DALBHARAT.NS"","
Deepak Nitrite Ltd.,CHEMICALS,DEEPAKNTR,EQ,INE288B01029,"""DEEPAKNTR.NS""","""DEEPAKNTR.NS"","
Delta Corp Ltd.,SERVICES,DELTACORP,EQ,INE124G01033,"""DELTACORP.NS""","""DELTACORP.NS"","
Dhanuka Agritech Ltd.,FERTILISERS & PESTICIDES,DHANUKA,EQ,INE435G01025,"""DHANUKA.NS""","""DHANUKA.NS"","
Dilip Buildcon Ltd.,CONSTRUCTION,DBL,EQ,INE917M01012,"""DBL.NS""","""DBL.NS"","
Dish TV India Ltd.,MEDIA & ENTERTAINMENT,DISHTV,EQ,INE836F01026,"""DISHTV.NS""","""DISHTV.NS"","
Dishman Carbogen Amcis Ltd.,PHARMA,DCAL,EQ,INE385W01011,"""DCAL.NS""","""DCAL.NS"","
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,EQ,INE361B01024,"""DIVISLAB.NS""","""DIVISLAB.NS"","
Dixon Technologies (India) Ltd.,CONSUMER GOODS,DIXON,EQ,INE935N01012,"""DIXON.NS""","""DIXON.NS"","
Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,LALPATHLAB,EQ,INE600L01024,"""LALPATHLAB.NS""","""LALPATHLAB.NS"","
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01023,"""DRREDDY.NS""","""DRREDDY.NS"","
E.I.D. Parry (India) Ltd.,FERTILISERS & PESTICIDES,EIDPARRY,EQ,INE126A01031,"""EIDPARRY.NS""","""EIDPARRY.NS"","
EIH Ltd.,SERVICES,EIHOTEL,EQ,INE230A01023,"""EIHOTEL.NS""","""EIHOTEL.NS"","
ESAB India Ltd.,INDUSTRIAL MANUFACTURING,ESABINDIA,EQ,INE284A01012,"""ESABINDIA.NS""","""ESABINDIA.NS"","
Edelweiss Financial Services Ltd.,FINANCIAL SERVICES,EDELWEISS,EQ,INE532F01054,"""EDELWEISS.NS""","""EDELWEISS.NS"","
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,EQ,INE066A01013,"""EICHERMOT.NS""","""EICHERMOT.NS"","
Elgi Equipments Ltd.,INDUSTRIAL MANUFACTURING,ELGIEQUIP,EQ,INE285A01027,"""ELGIEQUIP.NS""","""ELGIEQUIP.NS"","
Emami Ltd.,CONSUMER GOODS,EMAMILTD,EQ,INE548C01032,"""EMAMILTD.NS""","""EMAMILTD.NS"","
Endurance Technologies Ltd.,AUTOMOBILE,ENDURANCE,EQ,INE913H01037,"""ENDURANCE.NS""","""ENDURANCE.NS"","
Engineers India Ltd.,CONSTRUCTION,ENGINERSIN,EQ,INE510A01028,"""ENGINERSIN.NS""","""ENGINERSIN.NS"","
Equitas Holdings Ltd.,FINANCIAL SERVICES,EQUITAS,EQ,INE988K01017,"""EQUITAS.NS""","""EQUITAS.NS"","
Eris Lifesciences Ltd.,PHARMA,ERIS,EQ,INE406M01024,"""ERIS.NS""","""ERIS.NS"","
Escorts Ltd.,AUTOMOBILE,ESCORTS,EQ,INE042A01014,"""ESCORTS.NS""","""ESCORTS.NS"","
Essel Propack Ltd.,INDUSTRIAL MANUFACTURING,ESSELPACK,EQ,INE255A01020,"""ESSELPACK.NS""","""ESSELPACK.NS"","
Exide Industries Ltd.,AUTOMOBILE,EXIDEIND,EQ,INE302A01020,"""EXIDEIND.NS""","""EXIDEIND.NS"","
FDC Ltd.,PHARMA,FDC,EQ,INE258B01022,"""FDC.NS""","""FDC.NS"","
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK,EQ,INE171A01029,"""FEDERALBNK.NS""","""FEDERALBNK.NS"","
Fine Organic Industries Ltd.,CHEMICALS,FINEORG,EQ,INE686Y01026,"""FINEORG.NS""","""FINEORG.NS"","
Finolex Cables Ltd.,INDUSTRIAL MANUFACTURING,FINCABLES,EQ,INE235A01022,"""FINCABLES.NS""","""FINCABLES.NS"","
Finolex Industries Ltd.,INDUSTRIAL MANUFACTURING,FINPIPE,EQ,INE183A01016,"""FINPIPE.NS""","""FINPIPE.NS"","
Firstsource Solutions Ltd.,IT,FSL,EQ,INE684F01012,"""FSL.NS""","""FSL.NS"","
Fortis Healthcare Ltd.,HEALTHCARE SERVICES,FORTIS,EQ,INE061F01013,"""FORTIS.NS""","""FORTIS.NS"","
Future Consumer Ltd.,CONSUMER GOODS,FCONSUMER,EQ,INE220J01025,"""FCONSUMER.NS""","""FCONSUMER.NS"","
Future Retail Ltd.,CONSUMER GOODS,FRETAIL,EQ,INE752P01024,"""FRETAIL.NS""","""FRETAIL.NS"","
GAIL (India) Ltd.,OIL & GAS,GAIL,EQ,INE129A01019,"""GAIL.NS""","""GAIL.NS"","
GE Power India Ltd.,INDUSTRIAL MANUFACTURING,GEPIL,EQ,INE878A01011,"""GEPIL.NS""","""GEPIL.NS"","
GE T&D India Ltd.,INDUSTRIAL MANUFACTURING,GET&D,EQ,INE200A01026,"""GET&D.NS""","""GET&D.NS"","
GHCL Ltd.,CHEMICALS,GHCL,EQ,INE539A01019,"""GHCL.NS""","""GHCL.NS"","
GMM Pfaudler Ltd.,INDUSTRIAL MANUFACTURING,GMMPFAUDLR,EQ,INE541A01023,"""GMMPFAUDLR.NS""","""GMMPFAUDLR.NS"","
GMR Infrastructure Ltd.,CONSTRUCTION,GMRINFRA,EQ,INE776C01039,"""GMRINFRA.NS""","""GMRINFRA.NS"","
Galaxy Surfactants Ltd.,CHEMICALS,GALAXYSURF,EQ,INE600K01018,"""GALAXYSURF.NS""","""GALAXYSURF.NS"","
Garden Reach Shipbuilders & Engineers Ltd.,INDUSTRIAL MANUFACTURING,GRSE,EQ,INE382Z01011,"""GRSE.NS""","""GRSE.NS"","
Garware Technical Fibres Ltd.,TEXTILES,GARFIBRES,EQ,INE276A01018,"""GARFIBRES.NS""","""GARFIBRES.NS"","
General Insurance Corporation of India,FINANCIAL SERVICES,GICRE,EQ,INE481Y01014,"""GICRE.NS""","""GICRE.NS"","
Gillette India Ltd.,CONSUMER GOODS,GILLETTE,EQ,INE322A01010,"""GILLETTE.NS""","""GILLETTE.NS"","
Glaxosmithkline Pharmaceuticals Ltd.,PHARMA,GLAXO,EQ,INE159A01016,"""GLAXO.NS""","""GLAXO.NS"","
Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK,EQ,INE935A01035,"""GLENMARK.NS""","""GLENMARK.NS"","
Godfrey Phillips India Ltd.,CONSUMER GOODS,GODFRYPHLP,EQ,INE260B01028,"""GODFRYPHLP.NS""","""GODFRYPHLP.NS"","
Godrej Agrovet Ltd.,CONSUMER GOODS,GODREJAGRO,EQ,INE850D01014,"""GODREJAGRO.NS""","""GODREJAGRO.NS"","
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP,EQ,INE102D01028,"""GODREJCP.NS""","""GODREJCP.NS"","
Godrej Industries Ltd.,CONSUMER GOODS,GODREJIND,EQ,INE233A01035,"""GODREJIND.NS""","""GODREJIND.NS"","
Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP,EQ,INE484J01027,"""GODREJPROP.NS""","""GODREJPROP.NS"","
Granules India Ltd.,PHARMA,GRANULES,EQ,INE101D01020,"""GRANULES.NS""","""GRANULES.NS"","
Graphite India Ltd.,INDUSTRIAL MANUFACTURING,GRAPHITE,EQ,INE371A01025,"""GRAPHITE.NS""","""GRAPHITE.NS"","
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM,EQ,INE047A01021,"""GRASIM.NS""","""GRASIM.NS"","
Great Eastern Shipping Co. Ltd.,SERVICES,GESHIP,EQ,INE017A01032,"""GESHIP.NS""","""GESHIP.NS"","
Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING,GREAVESCOT,EQ,INE224A01026,"""GREAVESCOT.NS""","""GREAVESCOT.NS"","
Grindwell Norton Ltd.,INDUSTRIAL MANUFACTURING,GRINDWELL,EQ,INE536A01023,"""GRINDWELL.NS""","""GRINDWELL.NS"","
Gujarat Alkalies & Chemicals Ltd.,CHEMICALS,GUJALKALI,EQ,INE186A01019,"""GUJALKALI.NS""","""GUJALKALI.NS"","
Gujarat Fluorochemicals Ltd.,CHEMICALS,FLUOROCHEM,EQ,INE09N301011,"""FLUOROCHEM.NS""","""FLUOROCHEM.NS"","
Gujarat Gas Ltd.,OIL & GAS,GUJGASLTD,EQ,INE844O01030,"""GUJGASLTD.NS""","""GUJGASLTD.NS"","
Gujarat Mineral Development Corporation Ltd.,METALS,GMDCLTD,EQ,INE131A01031,"""GMDCLTD.NS""","""GMDCLTD.NS"","
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS,GNFC,EQ,INE113A01013,"""GNFC.NS""","""GNFC.NS"","
Gujarat Pipavav Port Ltd.,SERVICES,GPPL,EQ,INE517F01014,"""GPPL.NS""","""GPPL.NS"","
Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,GSFC,EQ,INE026A01025,"""GSFC.NS""","""GSFC.NS"","
Gujarat State Petronet Ltd.,OIL & GAS,GSPL,EQ,INE246F01010,"""GSPL.NS""","""GSPL.NS"","
Gulf Oil Lubricants India Ltd.,OIL & GAS,GULFOILLUB,EQ,INE635Q01029,"""GULFOILLUB.NS""","""GULFOILLUB.NS"","
H.E.G. Ltd.,INDUSTRIAL MANUFACTURING,HEG,EQ,INE545A01016,"""HEG.NS""","""HEG.NS"","
HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027,"""HCLTECH.NS""","""HCLTECH.NS"","
HDFC Asset Management Company Ltd.,FINANCIAL SERVICES,HDFCAMC,EQ,INE127D01025,"""HDFCAMC.NS""","""HDFCAMC.NS"","
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01034,"""HDFCBANK.NS""","""HDFCBANK.NS"","
HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,HDFCLIFE,EQ,INE795G01014,"""HDFCLIFE.NS""","""HDFCLIFE.NS"","
HFCL Ltd.,TELECOM,HFCL,EQ,INE548A01028,"""HFCL.NS""","""HFCL.NS"","
Hathway Cable & Datacom Ltd.,MEDIA & ENTERTAINMENT,HATHWAY,BE,INE982F01036,"""HATHWAY.NS""","""HATHWAY.NS"","
Hatsun Agro Product Ltd.,CONSUMER GOODS,HATSUN,EQ,INE473B01035,"""HATSUN.NS""","""HATSUN.NS"","
Havells India Ltd.,CONSUMER GOODS,HAVELLS,EQ,INE176B01034,"""HAVELLS.NS""","""HAVELLS.NS"","
HeidelbergCement India Ltd.,CEMENT & CEMENT PRODUCTS,HEIDELBERG,EQ,INE578A01017,"""HEIDELBERG.NS""","""HEIDELBERG.NS"","
