Company Name,Industry,Symbol,Series,ISIN Code
Chennai Petroleum Corporation Ltd.,OIL & GAS,CHENNPETRO,EQ,INE178A01016
Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,COCHINSHIP,EQ,INE704P01017
Cyient Ltd.,IT,CYIENT,EQ,INE136B01020
D.B.Corp Ltd.,MEDIA & ENTERTAINMENT,DBCORP,EQ,INE950I01011
DCB Bank Ltd.,FINANCIAL SERVICES,DCBBANK,EQ,INE503A01015
DCM Shriram Ltd.,CONSUMER GOODS,DCMSHRIRAM,EQ,INE499A01024
Deepak Nitrite Ltd.,CHEMICALS,DEEPAKNTR,EQ,INE288B01029
Delta Corp Ltd.,SERVICES,DELTACORP,EQ,INE124G01033
Dhanuka Agritech Ltd.,FERTILISERS & PESTICIDES,DHANUKA,EQ,INE435G01025
Dilip Buildcon Ltd.,CONSTRUCTION,DBL,EQ,INE917M01012
Dish TV India Ltd.,MEDIA & ENTERTAINMENT,DISHTV,EQ,INE836F01026
Dishman Carbogen Amcis Ltd.,PHARMA,DCAL,EQ,INE385W01011
Dixon Technologies (India) Ltd.,CONSUMER GOODS,DIXON,EQ,INE935N01012
E.I.D. Parry (India) Ltd.,FERTILISERS & PESTICIDES,EIDPARRY,EQ,INE126A01031
ESAB India Ltd.,INDUSTRIAL MANUFACTURING,ESABINDIA,EQ,INE284A01012
Elgi Equipments Ltd.,INDUSTRIAL MANUFACTURING,ELGIEQUIP,EQ,INE285A01027
Engineers India Ltd.,CONSTRUCTION,ENGINERSIN,EQ,INE510A01028
Equitas Holdings Ltd.,FINANCIAL SERVICES,EQUITAS,EQ,INE988K01017
Essel Propack Ltd.,INDUSTRIAL MANUFACTURING,ESSELPACK,EQ,INE255A01020
FDC Ltd.,PHARMA,FDC,EQ,INE258B01022
Fine Organic Industries Ltd.,CHEMICALS,FINEORG,EQ,INE686Y01026
Finolex Cables Ltd.,INDUSTRIAL MANUFACTURING,FINCABLES,EQ,INE235A01022
Finolex Industries Ltd.,INDUSTRIAL MANUFACTURING,FINPIPE,EQ,INE183A01016
Firstsource Solutions Ltd.,IT,FSL,EQ,INE684F01012
Future Consumer Ltd.,CONSUMER GOODS,FCONSUMER,EQ,INE220J01025
GE Power India Ltd.,INDUSTRIAL MANUFACTURING,GEPIL,EQ,INE878A01011
GE T&D India Ltd.,INDUSTRIAL MANUFACTURING,GET&D,EQ,INE200A01026
GHCL Ltd.,CHEMICALS,GHCL,EQ,INE539A01019
GMM Pfaudler Ltd.,INDUSTRIAL MANUFACTURING,GMMPFAUDLR,EQ,INE541A01023
Galaxy Surfactants Ltd.,CHEMICALS,GALAXYSURF,EQ,INE600K01018
Garden Reach Shipbuilders & Engineers Ltd.,INDUSTRIAL MANUFACTURING,GRSE,EQ,INE382Z01011
Garware Technical Fibres Ltd.,TEXTILES,GARFIBRES,EQ,INE276A01018
Godfrey Phillips India Ltd.,CONSUMER GOODS,GODFRYPHLP,EQ,INE260B01028
Granules India Ltd.,PHARMA,GRANULES,EQ,INE101D01020
Graphite India Ltd.,INDUSTRIAL MANUFACTURING,GRAPHITE,EQ,INE371A01025
Great Eastern Shipping Co. Ltd.,SERVICES,GESHIP,EQ,INE017A01032
Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING,GREAVESCOT,EQ,INE224A01026
Grindwell Norton Ltd.,INDUSTRIAL MANUFACTURING,GRINDWELL,EQ,INE536A01023
Gujarat Alkalies & Chemicals Ltd.,CHEMICALS,GUJALKALI,EQ,INE186A01019
Gujarat Fluorochemicals Ltd.,CHEMICALS,FLUOROCHEM,EQ,INE09N301011
Gujarat Mineral Development Corporation Ltd.,METALS,GMDCLTD,EQ,INE131A01031
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS,GNFC,EQ,INE113A01013
Gujarat Pipavav Port Ltd.,SERVICES,GPPL,EQ,INE517F01014
Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,GSFC,EQ,INE026A01025
Gulf Oil Lubricants India Ltd.,OIL & GAS,GULFOILLUB,EQ,INE635Q01029
H.E.G. Ltd.,INDUSTRIAL MANUFACTURING,HEG,EQ,INE545A01016
HFCL Ltd.,TELECOM,HFCL,EQ,INE548A01028
Hathway Cable & Datacom Ltd.,MEDIA & ENTERTAINMENT,HATHWAY,BE,INE982F01036
HeidelbergCement India Ltd.,CEMENT & CEMENT PRODUCTS,HEIDELBERG,EQ,INE578A01017
Heritage Foods Ltd.,CONSUMER GOODS,HERITGFOOD,EQ,INE978A01027
Himadri Speciality Chemical Ltd.,CHEMICALS,HSCL,EQ,INE019C01026
Himatsingka Seide Ltd.,TEXTILES,HIMATSEIDE,EQ,INE049A01027
Hindustan Copper Ltd.,METALS,HINDCOPPER,EQ,INE531E01026
ICRA Ltd.,FINANCIAL SERVICES,ICRA,EQ,INE725G01011
IDFC Ltd.,FINANCIAL SERVICES,IDFC,EQ,INE043D01016
IFB Industries Ltd.,CONSUMER GOODS,IFBIND,EQ,INE559A01017
IFCI Ltd.,FINANCIAL SERVICES,IFCI,EQ,INE039A01010
IIFL Finance Ltd.,FINANCIAL SERVICES,IIFL,EQ,INE530B01024
IRB Infrastructure Developers Ltd.,CONSTRUCTION,IRB,EQ,INE821I01014
IRCON International Ltd.,CONSTRUCTION,IRCON,EQ,INE962Y01021
ITI Ltd.,TELECOM,ITI,EQ,INE248A01017
India Cements Ltd.,CEMENT & CEMENT PRODUCTS,INDIACEM,EQ,INE383A01012
India Tourism Development Corporation Ltd.,SERVICES,ITDC,EQ,INE353K01014
Indiabulls Real Estate Ltd.,CONSTRUCTION,IBREALEST,EQ,INE069I01010
Indiamart Intermesh Ltd.,CONSUMER GOODS,INDIAMART,EQ,INE933S01016
Indian Bank,FINANCIAL SERVICES,INDIANB,EQ,INE562A01011
Indian Energy Exchange Ltd.,FINANCIAL SERVICES,IEX,EQ,INE022Q01020
IndoStar Capital Finance Ltd.,FINANCIAL SERVICES,INDOSTAR,EQ,INE896L01010
Indoco Remedies Ltd.,PHARMA,INDOCO,EQ,INE873D01024
Infibeam Avenues Ltd.,IT,INFIBEAM,EQ,INE483S01020
Ingersoll Rand (India) Ltd.,INDUSTRIAL MANUFACTURING,INGERRAND,EQ,INE177A01018
Inox Leisure Ltd.,MEDIA & ENTERTAINMENT,INOXLEISUR,EQ,INE312H01016
Intellect Design Arena Ltd.,IT,INTELLECT,EQ,INE306R01017
J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA,JBCHEPHARM,EQ,INE572A01028
JK Lakshmi Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKLAKSHMI,EQ,INE786A01032
JK Paper Ltd.,PAPER,JKPAPER,EQ,INE789E01012
JK Tyre & Industries Ltd.,AUTOMOBILE,JKTYRE,EQ,INE573A01042
JM Financial Ltd.,FINANCIAL SERVICES,JMFINANCIL,EQ,INE780C01023
Jagran Prakashan Ltd.,MEDIA & ENTERTAINMENT,JAGRAN,EQ,INE199G01027
Jai Corp Ltd.,INDUSTRIAL MANUFACTURING,JAICORPLTD,EQ,INE070D01027
Jammu & Kashmir Bank Ltd.,FINANCIAL SERVICES,J&KBANK,EQ,INE168A01041
Jamna Auto Industries Ltd.,AUTOMOBILE,JAMNAAUTO,EQ,INE039C01032
Jindal Saw Ltd.,METALS,JINDALSAW,EQ,INE324A01024
Jindal Stainless (Hisar) Ltd.,METALS,JSLHISAR,EQ,INE455T01018
Jindal Stainless Ltd.,METALS,JSL,EQ,INE220G01021
Johnson Controls - Hitachi Air Conditioning India Ltd.,CONSUMER GOODS,JCHAC,EQ,INE782A01015
Justdial Ltd.,IT,JUSTDIAL,EQ,INE599M01018
Jyothy Labs Ltd.,CONSUMER GOODS,JYOTHYLAB,EQ,INE668F01031
K.P.R. Mill Ltd.,TEXTILES,KPRMILL,EQ,INE930H01023
KEI Industries Ltd.,INDUSTRIAL MANUFACTURING,KEI,EQ,INE878B01027
KNR Constructions Ltd.,CONSTRUCTION,KNRCON,EQ,INE634I01029
KPIT Technologies Ltd.,IT,KPITTECH,EQ,INE04I401011
KRBL Ltd.,CONSUMER GOODS,KRBL,EQ,INE001B01026
KSB Ltd.,INDUSTRIAL MANUFACTURING,KSB,EQ,INE999A01015
Kajaria Ceramics Ltd.,CONSTRUCTION,KAJARIACER,EQ,INE217B01036
Kalpataru Power Transmission Ltd.,POWER,KALPATPOWR,EQ,INE220B01022
Karnataka Bank Ltd.,FINANCIAL SERVICES,KTKBANK,EQ,INE614B01018
Karur Vysya Bank Ltd.,FINANCIAL SERVICES,KARURVYSYA,EQ,INE036D01028
Kaveri Seed Company Ltd.,CONSUMER GOODS,KSCL,EQ,INE455I01029
Kec International Ltd.,CONSTRUCTION,KEC,EQ,INE389H01022
Kolte-Patil Developers Ltd.,CONSTRUCTION,KOLTEPATIL,EQ,INE094I01018
La Opala RG Ltd.,CONSUMER GOODS,LAOPALA,EQ,INE059D01020
Lakshmi Machine Works Ltd.,INDUSTRIAL MANUFACTURING,LAXMIMACH,EQ,INE269B01029
Laurus Labs Ltd.,PHARMA,LAURUSLABS,EQ,INE947Q01010
Lemon Tree Hotels Ltd.,SERVICES,LEMONTREE,EQ,INE970X01018
Linde India Ltd.,CHEMICALS,LINDEINDIA,EQ,INE473A01011
Lux Industries Ltd.,TEXTILES,LUXIND,EQ,INE150G01020
MAS Financial Services Ltd.,FINANCIAL SERVICES,MASFIN,EQ,INE348L01012
MMTC Ltd.,SERVICES,MMTC,EQ,INE123F01029
MOIL Ltd.,METALS,MOIL,EQ,INE490G01020
Maharashtra Scooters Ltd.,AUTOMOBILE,MAHSCOOTER,EQ,INE288A01013
Maharashtra Seamless Ltd.,METALS,MAHSEAMLES,EQ,INE271B01025
Mahindra CIE Automotive Ltd.,INDUSTRIAL MANUFACTURING,MAHINDCIE,EQ,INE536H01010
Mahindra Holidays & Resorts India Ltd.,SERVICES,MHRIL,EQ,INE998I01010
Mahindra Logistics Ltd.,SERVICES,MAHLOG,EQ,INE766P01016
Metropolis Healthcare Ltd.,HEALTHCARE SERVICES,METROPOLIS,EQ,INE112L01020
Minda Corporation Ltd.,AUTOMOBILE,MINDACORP,EQ,INE842C01021
Mishra Dhatu Nigam Ltd.,METALS,MIDHANI,EQ,INE099Z01011
Multi Commodity Exchange of India Ltd.,FINANCIAL SERVICES,MCX,EQ,INE745G01035
NBCC (India) Ltd.,CONSTRUCTION,NBCC,EQ,INE095N01031
NCC Ltd.,CONSTRUCTION,NCC,EQ,INE868B01028
NESCO Ltd.,SERVICES,NESCO,EQ,INE317F01035
Narayana Hrudayalaya Ltd.,HEALTHCARE SERVICES,NH,EQ,INE410P01011
National Fertilizers Ltd.,FERTILISERS & PESTICIDES,NFL,EQ,INE870D01012
Nava Bharat Ventures Ltd.,POWER,NBVENTURES,EQ,INE725A01022
Navin Fluorine International Ltd.,CHEMICALS,NAVINFLUOR,EQ,INE048G01026
Nilkamal Ltd.,INDUSTRIAL MANUFACTURING,NILKAMAL,EQ,INE310A01015
Omaxe Ltd.,CONSTRUCTION,OMAXE,EQ,INE800H01010
Orient Cement Ltd.,CEMENT & CEMENT PRODUCTS,ORIENTCEM,EQ,INE876N01018
Orient Electric Ltd.,CONSUMER GOODS,ORIENTELEC,EQ,INE142Z01019
Orient Refractories Ltd.,INDUSTRIAL MANUFACTURING,ORIENTREF,EQ,INE743M01012
PNC Infratech Ltd.,CONSTRUCTION,PNCINFRA,EQ,INE195J01029
PTC India Ltd.,POWER,PTC,EQ,INE877F01012
PVR Ltd.,MEDIA & ENTERTAINMENT,PVR,EQ,INE191H01014
Persistent Systems Ltd.,IT,PERSISTENT,EQ,INE262H01013
Phillips Carbon Black Ltd.,CHEMICALS,PHILIPCARB,EQ,INE602A01023
Poly Medicure Ltd.,PHARMA,POLYMED,EQ,INE205C01021
Praj Industries Ltd.,INDUSTRIAL MANUFACTURING,PRAJIND,EQ,INE074A01025
Prism Johnson Ltd.,CEMENT & CEMENT PRODUCTS,PRSMJOHNSN,EQ,INE010A01011
Procter & Gamble Health Ltd.,PHARMA,PGHL,EQ,INE199A01012
RITES Ltd.,SERVICES,RITES,EQ,INE320J01015
Radico Khaitan Ltd,CONSUMER GOODS,RADICO,EQ,INE944F01028
Rail Vikas Nigam Ltd.,CONSTRUCTION,RVNL,EQ,INE415G01027
Rain Industries Ltd,CHEMICALS,RAIN,EQ,INE855B01025
Rallis India Ltd.,FERTILISERS & PESTICIDES,RALLIS,EQ,INE613A01020
Rashtriya Chemicals & Fertilizers Ltd.,FERTILISERS & PESTICIDES,RCF,EQ,INE027A01015
Ratnamani Metals & Tubes Ltd.,METALS,RATNAMANI,EQ,INE703B01027
Raymond Ltd.,TEXTILES,RAYMOND,EQ,INE301A01014
Redington (India) Ltd.,SERVICES,REDINGTON,EQ,INE891D01026
Repco Home Finance Ltd.,FINANCIAL SERVICES,REPCOHOME,EQ,INE612J01015
Sadbhav Engineering Ltd.,CONSTRUCTION,SADBHAV,EQ,INE226H01026
Schneider Electric Infrastructure Ltd.,INDUSTRIAL MANUFACTURING,SCHNEIDER,EQ,INE839M01018
Security and Intelligence Services (India) Ltd.,SERVICES,SIS,EQ,INE285J01028
Sequent Scientific Ltd.,PHARMA,SEQUENT,EQ,INE807F01027
Sheela Foam Ltd.,CONSUMER GOODS,SFL,EQ,INE916U01025
Shipping Corporation of India Ltd.,SERVICES,SCI,EQ,INE109A01011
Shoppers Stop Ltd.,CONSUMER GOODS,SHOPERSTOP,EQ,INE498B01024
Shree Renuka Sugars Ltd.,CONSUMER GOODS,RENUKA,EQ,INE087H01022
Sobha Ltd.,CONSTRUCTION,SOBHA,EQ,INE671H01015
Sonata Software Ltd.,IT,SONATSOFTW,EQ,INE269A01021
South Indian Bank Ltd.,FINANCIAL SERVICES,SOUTHBANK,EQ,INE683A01023
Spandana Sphoorty Financial Ltd.,FINANCIAL SERVICES,SPANDANA,EQ,INE572J01011
Spicejet Ltd.,SERVICES,SPICEJET,EQ,INE285B01017
Star Cement Ltd.,CEMENT & CEMENT PRODUCTS,STARCEMENT,EQ,INE460H01021
Sterling And Wilson Solar Ltd.,CONSTRUCTION,SWSOLAR,EQ,INE00M201021
Sterlite Technologies Ltd.,TELECOM,STRTECH,EQ,INE089C01029
Strides Pharma Science Ltd.,PHARMA,STAR,EQ,INE939A01011
Sudarshan Chemical Industries Ltd.,CHEMICALS,SUDARSCHEM,EQ,INE659A01023
Sun Pharma Advanced Research Company Ltd.,PHARMA,SPARC,EQ,INE232I01014
Sunteck Realty Ltd.,CONSTRUCTION,SUNTECK,EQ,INE805D01034
Suprajit Engineering Ltd.,AUTOMOBILE,SUPRAJIT,EQ,INE399C01030
Suzlon Energy Ltd.,INDUSTRIAL MANUFACTURING,SUZLON,EQ,INE040H01021
Swan Energy Ltd.,CONSTRUCTION,SWANENERGY,EQ,INE665A01038
TCI Express Ltd.,SERVICES,TCIEXP,EQ,INE586V01016
TCNS Clothing Co. Ltd.,TEXTILES,TCNSBRANDS,EQ,INE778U01029
TV Today Network Ltd.,MEDIA & ENTERTAINMENT,TVTODAY,EQ,INE038F01029
TV18 Broadcast Ltd.,MEDIA & ENTERTAINMENT,TV18BRDCST,EQ,INE886H01027
Take Solutions Ltd.,PHARMA,TAKE,EQ,INE142I01023
Tasty Bite Eatables Ltd.,CONSUMER GOODS,TASTYBITE,EQ,INE488B01017
Tata Elxsi Ltd.,IT,TATAELXSI,EQ,INE670A01012
Tata Investment Corporation Ltd.,FINANCIAL SERVICES,TATAINVEST,EQ,INE672A01018
Tata Steel BSL Ltd.,METALS,TATASTLBSL,EQ,INE824B01021
Teamlease Services Ltd.,SERVICES,TEAMLEASE,EQ,INE985S01024
Thyrocare Technologies Ltd.,HEALTHCARE SERVICES,THYROCARE,EQ,INE594H01019
Time Technoplast Ltd.,INDUSTRIAL MANUFACTURING,TIMETECHNO,EQ,INE508G01029
Timken India Ltd.,INDUSTRIAL MANUFACTURING,TIMKEN,EQ,INE325A01013
Trident Ltd.,TEXTILES,TRIDENT,EQ,INE064C01022
Tube Investments of India Ltd.,AUTOMOBILE,TIINDIA,EQ,INE974X01010
UFLEX Ltd.,INDUSTRIAL MANUFACTURING,UFLEX,EQ,INE516A01017
Ujjivan Financial Services Ltd.,FINANCIAL SERVICES,UJJIVAN,EQ,INE334L01012
Ujjivan Small Finance Bank Ltd.,FINANCIAL SERVICES,UJJIVANSFB,EQ,INE551W01018
V-Mart Retail Ltd.,CONSUMER GOODS,VMART,EQ,INE665J01013
V.I.P. Industries Ltd.,CONSUMER GOODS,VIPIND,EQ,INE054A01027
VRL Logistics Ltd.,SERVICES,VRLLOG,EQ,INE366I01010
VST Industries Ltd.,CONSUMER GOODS,VSTIND,EQ,INE710A01016
Vaibhav Global Ltd.,CONSUMER GOODS,VAIBHAVGBL,EQ,INE884A01019
Vakrangee Ltd.,IT,VAKRANGEE,EQ,INE051B01021
Vardhman Textiles Ltd.,TEXTILES,VTL,EQ,INE825A01012
Varroc Engineering Ltd.,AUTOMOBILE,VARROC,EQ,INE665L01035
Venky's (India) Ltd.,CONSUMER GOODS,VENKEYS,EQ,INE398A01010
Vesuvius India Ltd.,INDUSTRIAL MANUFACTURING,VESUVIUS,EQ,INE386A01015
Welspun Corp Ltd.,METALS,WELCORP,EQ,INE191B01025
Welspun India Ltd.,TEXTILES,WELSPUNIND,EQ,INE192B01031
Westlife Development Ltd.,SERVICES,WESTLIFE,EQ,INE274F01020
Wockhardt Ltd.,PHARMA,WOCKPHARMA,EQ,INE049B01025
Zensar Technolgies Ltd.,IT,ZENSARTECH,EQ,INE520A01027
Zydus Wellness Ltd.,CONSUMER GOODS,ZYDUSWELL,EQ,INE768C01010
eClerx Services Ltd.,IT,ECLERX,EQ,INE738I01010
